point_index,x,y
0,0.0410677618,0.4597428866
1,0.0821355236,0.4630720585
2,0.1232032854,0.4672121248
3,0.1642710472,0.4749457652
4,0.2053388090,0.4831807111
5,0.2464065708,0.4911072628
6,0.2874743326,0.4990708677
7,0.3285420945,0.5078685865
8,0.3696098563,0.5078685865
9,0.4106776181,0.5219006530
10,0.4517453799,0.5297518450
11,0.4928131417,0.5363313578
12,0.5338809035,0.5430248801
13,0.5749486653,0.5500581222
14,0.6160164271,0.5561448235
15,0.6570841889,0.5623096694
16,0.6981519507,0.5687045182
17,0.7392197125,0.5743823080
18,0.7802874743,0.5800569280
19,0.8213552361,0.5858479078
20,0.8624229979,0.5910164403
21,0.9034907598,0.5962069154
22,0.9445585216,0.6015248707
23,0.9856262834,0.6062240155
24,1.0266940452,0.6114100737
25,1.0677618070,0.6165712055
26,1.1088295688,0.6205254072
27,1.1498973306,0.6253479526
28,1.1909650924,0.6303310214
29,1.2320328542,0.6341006338
30,1.2731006160,0.6387363815
31,1.3141683778,0.6429101720
32,1.3552361396,0.6467681995
33,1.3963039014,0.6510074035
34,1.4373716632,0.6548765860
35,1.4784394251,0.6585181865
36,1.5195071869,0.6623891302
37,1.5605749487,0.6660718992
38,1.6016427105,0.6695736129
39,1.6427104723,0.6730493380
40,1.6837782341,0.6764997063
41,1.7248459959,0.6795986377
42,1.7659137577,0.6838647885
43,1.8069815195,0.6867239077
44,1.8480492813,0.6895189509
45,1.8891170431,0.6929542072
46,1.9301848049,0.6957978729
47,1.9712525667,0.6986628890
48,2.0123203285,0.7020635605
49,2.0533880903,0.7048029103
50,2.0944558522,0.7080545929
51,2.1355236140,0.7108062220
52,2.1765913758,0.7131141703
53,2.2176591376,0.7157682639
54,2.2587268994,0.7186475410
55,2.2997946612,0.7206605047
56,2.3408624230,0.7233303566
57,2.3819301848,0.7259987025
58,2.4229979466,0.7286885246
59,2.4640657084,0.7312353858
60,2.5051334702,0.7338225069
61,2.5462012320,0.7355448293
62,2.5872689938,0.7378679210
63,2.6283367556,0.7402478326
64,2.6694045175,0.7428806508
65,2.7104722793,0.7451919636
66,2.7515400411,0.7468032087
67,2.7926078029,0.7488070086
68,2.8336755647,0.7512026777
69,2.8747433265,0.7532480707
70,2.9158110883,0.7548634308
71,2.9568788501,0.7570934187
72,2.9979466119,0.7594227710
73,3.0390143737,0.7609494479
74,3.0800821355,0.7630551416
75,3.1211498973,0.7649725353
76,3.1622176591,0.7665462178
77,3.2032854209,0.7686363756
78,3.2443531828,0.7702868852
79,3.2854209446,0.7723877171
80,3.3264887064,0.7737780878
81,3.3675564682,0.7759202683
82,3.4086242300,0.7774780312
83,3.4496919918,0.7788934426
84,3.4907597536,0.7806506148
85,3.5318275154,0.7817622951
86,3.5728952772,0.7840756889
87,3.6139630390,0.7853991682
88,3.6550308008,0.7875000000
89,3.6960985626,0.7887326716
90,3.7371663244,0.7903688525
91,3.7782340862,0.7915965600
92,3.8193018480,0.7930133755
93,3.8603696099,0.7942786601
94,3.9014373717,0.7961065574
95,3.9425051335,0.7965474416
96,3.9835728953,0.7989359302
97,4.0246406571,0.7995645492
98,4.0657084189,0.8017657353
99,4.1067761807,0.8021769214
100,4.1478439425,0.8045610409
101,4.1889117043,0.8047131148
102,4.2299794661,0.8069180475
103,4.2710472279,0.8075819672
104,4.3121149897,0.8093272767
105,4.3531827515,0.8104508197
106,4.3942505133,0.8111840898
107,4.4353182752,0.8132801925
108,4.4763860370,0.8133196721
109,4.5174537988,0.8156274575
110,4.5585215606,0.8161885246
111,4.5995893224,0.8170346119
112,4.6406570842,0.8190573770
113,4.6817248460,0.8190573770
114,4.7227926078,0.8205030427
115,4.7638603696,0.8219262295
116,4.8049281314,0.8222010814
117,4.8459958932,0.8245384837
118,4.8870636550,0.8247950820
119,4.9281314168,0.8260391843
120,4.9691991786,0.8274688967
121,5.0102669405,0.8276639344
122,5.0513347023,0.8289827976
123,5.0924024641,0.8303807130
124,5.1334702259,0.8305327869
125,5.1745379877,0.8313957516
126,5.2156057495,0.8331519429
127,5.2566735113,0.8334016393
128,5.2977412731,0.8343871779
129,5.3388090349,0.8362704918
130,5.3798767967,0.8362704918
131,5.4209445585,0.8369086899
132,5.4620123203,0.8387278754
133,5.5030800821,0.8391393443
134,5.5441478439,0.8396232471
135,5.5852156057,0.8412022157
136,5.6262833676,0.8420081967
137,5.6673511294,0.8421306809
138,5.7084188912,0.8430806226
139,5.7494866530,0.8445202339
140,5.7905544148,0.8448770492
141,5.8316221766,0.8450462097
142,5.8726899384,0.8467258332
143,5.9137577002,0.8476401500
144,5.9548254620,0.8477459016
145,5.9958932238,0.8485856815
146,6.0369609856,0.8501918382
147,6.0780287474,0.8506147541
148,6.1190965092,0.8506147541
149,6.1601642710,0.8516100703
150,6.2012320329,0.8531267912
151,6.2422997947,0.8534836066
152,6.2833675565,0.8536699853
153,6.3244353183,0.8544307050
154,6.3655030801,0.8558829321
155,6.4065708419,0.8563524590
156,6.4476386037,0.8563524590
157,6.4887063655,0.8570110321
158,6.5297741273,0.8585056083
159,6.5708418891,0.8592213115
160,6.6119096509,0.8592213115
161,6.6529774127,0.8595457650
162,6.6940451745,0.8608821477
163,6.7351129363,0.8617099546
164,6.7761806982,0.8620901639
165,6.8172484600,0.8622464972
166,6.8583162218,0.8631631148
167,6.8993839836,0.8643155781
168,6.9404517454,0.8649590164
169,6.9815195072,0.8649590164
170,7.0225872690,0.8651802325
171,7.0636550308,0.8659719953
172,7.1047227926,0.8672363374
173,7.1457905544,0.8678278689
174,7.1868583162,0.8678278689
175,7.2279260780,0.8678278689
176,7.2689938398,0.8684194003
177,7.3100616016,0.8699922221
178,7.3511293634,0.8706967213
179,7.3921971253,0.8706967213
180,7.4332648871,0.8706967213
181,7.4743326489,0.8713665280
182,7.5154004107,0.8727874210
183,7.5564681725,0.8730248710
184,7.5975359343,0.8735655738
185,7.6386036961,0.8735655738
186,7.6796714579,0.8739038414
